Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,Target
0,298.1,309.2,1802,26.9,83,0,1,0,0,0,0,0
0,299.5,310.0,1502,38.5,52,0,1,0,0,0,0,0
1,298.9,309.8,1836,22.8,18,0,1,0,0,0,0,0
0,300.3,311.7,1989,22.3,121,0,1,0,0,0,0,0
1,298.7,309.0,1843,25.8,130,0,1,0,0,0,0,0
1,299.1,309.5,1339,48.2,86,0,1,0,0,0,0,0
1,299.0,310.4,1394,45.2,122,0,1,0,0,0,0,0
0,300.7,311.2,1878,24.3,24,0,1,0,0,0,0,0
1,298.6,309.8,1419,44.9,115,0,1,0,0,0,0,0
2,298.2,307.9,1491,39.7,181,0,1,0,0,0,0,0
1,298.7,309.9,2083,18.2,205,0,1,0,0,0,0,0
0,300.7,309.9,1775,26.6,149,0,1,0,0,0,0,0
0,303.7,312.2,1619,34.9,92,0,1,0,0,0,0,0
0,298.9,308.5,1467,44.7,136,0,1,0,0,0,0,0
1,301.9,309.7,1533,35.9,204,0,1,0,0,0,0,0
0,298.3,309.4,1468,46.2,10,0,1,0,0,0,0,0
0,297.5,308.6,1208,62.3,28,0,1,0,0,0,0,0
0,303.6,313.0,1593,31.6,52,0,1,0,0,0,0,0
1,299.3,308.9,1858,24.7,101,0,1,0,0,0,0,0
1,297.6,308.6,1414,45.4,138,0,1,0,0,0,0,0
0,298.1,308.1,1616,32.8,65,0,1,0,0,0,0,0
0,302.0,310.7,1698,28.1,39,0,1,0,0,0,0,0
1,297.4,309.0,1520,37.0,147,0,1,0,0,0,0,0
2,299.4,309.0,1607,33.7,130,0,1,0,0,0,0,0
0,301.5,310.7,1686,27.9,135,0,1,0,0,0,0,0
1,300.6,310.7,1388,42.9,190,0,1,0,0,0,0,0
0,296.8,307.8,1480,39.4,122,0,1,0,0,0,0,0
0,301.3,310.0,1665,31.4,0,0,1,0,0,0,0,0
0,303.9,312.7,1800,24.3,158,0,1,0,0,0,0,0
0,303.2,312.5,1518,39.9,146,0,1,0,0,0,0,0
0,301.3,311.0,1582,35.6,202,0,1,0,0,0,0,0
0,296.8,307.6,1588,37.6,126,0,1,0,0,0,0,0
2,302.8,311.0,1436,43.5,47,0,1,0,0,0,0,0
1,300.9,310.8,1988,19.7,136,0,1,0,0,0,0,0
1,299.2,308.5,1526,37.3,135,0,1,0,0,0,0,0
0,299.1,310.1,1416,41.2,185,0,1,0,0,0,0,0
1,301.2,311.0,1424,41.4,131,0,1,0,0,0,0,0
2,298.7,308.6,1499,43.5,84,0,1,0,0,0,0,0
0,297.1,308.4,1529,40.4,165,0,1,0,0,0,0,0
0,298.5,308.0,1624,29.8,160,0,1,0,0,0,0,0
0,300.4,311.7,1373,47.2,3,0,1,0,0,0,0,0
0,299.0,310.3,1584,34.4,83,0,1,0,0,0,0,0
0,297.8,308.4,1612,32.1,183,0,1,0,0,0,0,0
1,297.4,308.0,1601,34.6,181,0,1,0,0,0,0,0
1,301.6,310.8,1343,49.5,140,0,1,0,0,0,0,0
0,298.0,307.8,1716,26.6,9,0,1,0,0,0,0,0
1,301.5,311.1,1402,40.0,94,0,1,0,0,0,0,0
1,299.1,310.3,1233,59.0,81,0,1,0,0,0,0,0
1,301.9,311.1,1380,51.6,184,0,1,0,0,0,0,0
1,302.4,310.5,1500,36.7,164,0,1,0,0,0,0,0
0,303.7,312.5,1632,36.6,186,0,1,0,0,0,0,0
1,304.0,313.2,1437,53.9,7,0,1,0,0,0,0,0
1,300.3,311.6,1617,32.5,115,0,1,0,0,0,0,0
0,301.7,310.7,1641,31.9,192,0,1,0,0,0,0,0
0,296.7,307.7,1927,23.9,112,0,1,0,0,0,0,0
1,302.0,310.5,1823,25.1,87,0,1,0,0,0,0,0
0,299.0,310.1,1886,21.2,13,0,1,0,0,0,0,0
0,298.8,308.8,1523,44.4,55,0,1,0,0,0,0,0
1,300.5,311.9,1730,27.5,209,0,1,0,0,0,0,0
0,299.0,310.3,1501,43.0,91,0,1,0,0,0,0,0
0,300.6,311.7,1553,39.8,0,0,1,0,0,0,0,0
0,302.0,311.1,1373,55.7,157,0,1,0,0,0,0,0
1,301.0,311.3,1454,41.5,57,0,1,0,0,0,0,0
0,302.4,310.1,1429,43.7,104,0,1,0,0,0,0,0
0,301.3,310.5,1390,45.8,63,0,1,0,0,0,0,0
0,302.2,310.9,1506,34.0,49,0,1,0,0,0,0,0
0,302.0,310.0,1832,22.9,178,0,1,0,0,0,0,0
0,297.4,308.6,1820,24.6,79,0,1,0,0,0,0,0
2,300.6,310.0,1483,44.0,97,0,1,0,0,0,0,0
0,300.7,312.1,1498,44.0,155,0,1,0,0,0,0,0
1,298.7,309.8,1570,42.1,200,0,1,0,0,0,0,0
0,297.4,309.4,1473,45.5,94,0,1,0,0,0,0,0
0,301.2,311.0,1670,33.0,200,0,1,0,0,0,0,0
0,299.2,310.7,1737,27.0,225,0,0,0,0,0,1,1
0,302.2,311.5,1744,31.2,172,0,1,0,0,0,0,0
1,296.9,308.1,1483,44.3,219,0,1,0,0,0,0,0
1,302.5,311.0,1563,35.6,190,0,1,0,0,0,0,0
0,299.9,309.6,1280,59.3,163,0,1,0,0,0,0,0
1,302.5,310.5,1918,21.6,131,0,1,0,0,0,0,0
0,299.0,310.1,1531,36.0,57,0,1,0,0,0,0,0
1,300.2,309.5,1458,46.9,23,0,1,0,0,0,0,0
0,302.3,311.3,1457,44.5,83,0,1,0,0,0,0,0
0,302.4,311.3,1392,50.5,51,0,1,0,0,0,0,0
2,300.9,310.5,1512,41.2,49,0,1,0,0,0,0,0
1,300.5,311.9,1676,35.2,97,0,1,0,0,0,0,0
0,299.9,310.4,1419,45.7,178,0,1,0,0,0,0,0
0,298.3,309.4,1618,31.5,108,0,1,0,0,0,0,0
0,297.5,308.6,1380,53.5,192,0,1,0,0,0,0,0
1,300.9,310.0,1416,46.6,201,0,1,0,0,0,0,0
0,299.1,310.5,1628,35.9,174,0,1,0,0,0,0,0
0,301.0,312.2,1510,39.9,61,0,1,0,0,0,0,0
0,297.9,309.7,2194,16.8,27,0,1,0,0,0,0,0
0,298.3,309.0,1657,32.2,179,0,1,0,0,0,0,0
0,297.2,308.3,1693,28.0,188,0,1,0,0,0,0,0
2,300.8,310.6,1465,44.1,136,0,1,0,0,0,0,0
0,302.8,312.6,1462,39.4,22,0,1,0,0,0,0,0
0,297.3,308.5,1504,42.0,142,0,1,0,0,0,0,0
0,302.6,311.9,1453,39.1,84,0,1,0,0,0,0,0
0,296.5,307.6,1512,43.6,92,0,1,0,0,0,0,0
0,299.8,310.4,1694,30.3,204,0,1,0,0,0,0,0
0,298.3,308.4,1585,30.6,127,0,1,0,0,0,0,0
1,302.2,311.2,1663,29.6,115,0,1,0,0,0,0,0
0,301.8,311.0,1651,32.5,195,0,1,0,0,0,0,0
0,298.2,308.3,1475,49.9,47,0,1,0,0,0,0,0
0,299.4,309.0,1404,47.3,86,0,1,0,0,0,0,0
0,298.1,307.7,1289,48.3,42,0,1,0,0,0,0,0
0,298.7,310.1,1620,34.8,112,0,1,0,0,0,0,0
0,299.8,309.8,1749,33.4,153,0,1,0,0,0,0,0
0,297.6,308.5,1452,42.6,116,0,1,0,0,0,0,0
2,298.2,310.0,1433,44.2,68,0,1,0,0,0,0,0
0,300.2,309.4,1527,37.0,194,0,1,0,0,0,0,0
1,298.5,309.3,1761,27.2,49,0,1,0,0,0,0,0
1,297.8,307.8,1543,43.7,8,0,1,0,0,0,0,0
2,300.4,310.7,1656,36.3,127,0,1,0,0,0,0,0
0,297.8,307.9,1447,48.6,46,0,1,0,0,0,0,0
0,300.5,310.2,1764,25.9,27,0,1,0,0,0,0,0
0,299.2,310.4,1570,37.3,37,0,1,0,0,0,0,0
0,302.2,311.1,1418,47.0,61,0,1,0,0,0,0,0
2,299.4,309.3,1743,28.2,0,0,1,0,0,0,0,0
1,302.9,311.0,1402,40.7,52,0,1,0,0,0,0,0
0,302.6,311.9,1598,35.5,69,0,1,0,0,0,0,0
0,304.2,313.6,1469,40.0,154,0,1,0,0,0,0,0
1,302.8,311.0,1507,33.4,82,0,1,0,0,0,0,0
0,303.6,312.3,1616,29.3,226,0,1,0,0,0,0,0
0,299.0,310.4,1565,36.1,127,0,1,0,0,0,0,0
0,300.6,310.2,1555,41.9,19,0,1,0,0,0,0,0
1,304.1,313.3,1725,28.3,177,0,1,0,0,0,0,0
1,298.8,309.7,1459,47.3,141,0,1,0,0,0,0,0
1,298.1,307.9,1496,40.0,0,0,1,0,0,0,0,0
0,298.8,309.7,1505,39.0,131,0,1,0,0,0,0,0
0,302.4,311.8,1448,43.4,141,0,1,0,0,0,0,0
1,302.9,312.4,1421,46.0,206,0,1,0,0,0,0,0
0,300.4,309.8,1395,48.1,201,0,1,0,0,0,0,0
1,299.6,309.4,1605,29.8,142,0,1,0,0,0,0,0
1,300.5,311.4,1743,27.6,46,0,1,0,0,0,0,0
1,298.0,309.0,1393,55.9,79,0,1,0,0,0,0,0
2,302.3,311.5,1526,38.2,47,0,1,0,0,0,0,0
0,296.8,307.9,1706,30.8,111,0,1,0,0,0,0,0
0,301.6,310.6,1391,49.4,164,0,1,0,0,0,0,0
1,303.0,311.1,1372,54.3,117,1,0,0,0,0,0,1
1,302.2,311.2,1544,43.6,63,0,1,0,0,0,0,0
0,299.2,308.5,1867,27.0,138,0,1,0,0,0,0,0
2,298.9,310.1,1452,49.9,187,0,1,0,0,0,0,0
1,297.8,307.8,1622,32.1,18,0,1,0,0,0,0,0
0,299.8,309.6,1598,31.0,139,0,1,0,0,0,0,0
1,300.0,311.4,1791,24.1,213,0,1,0,0,0,0,0
2,301.6,309.9,1423,53.6,95,0,1,0,0,0,0,0
0,302.6,311.9,1354,48.0,67,0,1,0,0,0,0,0
0,302.5,310.3,1688,31.6,66,0,1,0,0,0,0,0
0,301.3,311.0,1348,44.5,78,0,1,0,0,0,0,0
1,298.3,308.8,1391,50.4,13,0,1,0,0,0,0,0
0,302.3,311.3,1682,34.4,127,0,1,0,0,0,0,0
1,300.8,310.7,1371,44.7,205,0,1,0,0,0,0,0
0,298.2,308.3,1458,41.8,132,0,1,0,0,0,0,0
0,303.6,311.8,1567,31.7,97,0,1,0,0,0,0,0
1,300.4,311.5,1750,27.3,116,0,1,0,0,0,0,0
0,302.4,311.1,1448,44.8,195,0,1,0,0,0,0,0
1,297.5,308.6,1349,51.5,21,0,1,0,0,0,0,0
1,301.5,310.4,2639,12.0,21,0,0,0,1,0,0,1
1,298.8,309.9,1495,35.2,60,0,1,0,0,0,0,0
0,298.6,310.0,1334,48.0,42,0,1,0,0,0,0,0
0,298.8,309.1,1489,49.1,128,0,1,0,0,0,0,0
0,298.9,309.9,1373,52.1,108,0,1,0,0,0,0,0
2,296.7,308.1,1528,46.3,203,0,1,0,0,0,0,0
0,300.9,312.1,1474,42.4,171,0,1,0,0,0,0,0
0,302.4,311.0,1475,47.9,79,0,1,0,0,0,0,0
0,302.7,312.1,1688,32.0,155,0,1,0,0,0,0,0
0,303.1,311.2,1628,35.2,23,0,1,0,0,0,0,0
1,302.3,311.0,1521,34.8,72,0,1,0,0,0,0,0
0,301.5,310.3,1415,41.6,28,0,1,0,0,0,0,0
0,299.7,310.3,1495,43.1,101,0,1,0,0,0,0,0
2,302.3,311.9,1374,52.4,154,0,1,0,0,0,0,0
0,300.7,310.5,1536,47.4,192,0,1,0,0,0,0,0
1,301.4,311.2,1476,36.5,25,0,1,0,0,0,0,0
0,300.2,311.6,1375,56.9,155,0,1,0,0,0,0,0
1,302.7,312.1,1378,46.9,176,0,1,0,0,0,0,0
0,301.8,311.0,1606,33.3,4,0,1,0,0,0,0,0
0,300.2,311.7,1640,30.8,191,0,1,0,0,0,0,0
2,300.7,310.5,1567,38.7,129,0,1,0,0,0,0,0
1,299.5,310.1,1359,61.1,67,0,1,0,0,0,0,0
0,301.0,312.1,1675,30.7,200,0,1,0,0,0,0,0
2,299.3,310.4,1393,44.9,162,0,1,0,0,0,0,0
2,297.3,308.4,1864,23.1,90,0,1,0,0,0,0,0
0,297.5,308.9,1390,47.4,187,0,1,0,0,0,0,0
1,299.2,308.8,1700,33.5,185,0,1,0,0,0,0,0
0,301.8,310.9,1899,24.7,31,0,1,0,0,0,0,0
1,302.3,311.7,1368,53.6,165,0,1,0,0,0,0,0
0,299.0,310.1,1463,37.4,56,0,1,0,0,0,0,0
0,300.0,309.3,1558,29.7,168,0,1,0,0,0,0,0
1,297.8,309.1,1424,45.5,2,0,1,0,0,0,0,0
1,297.3,308.5,1520,42.4,171,0,1,0,0,0,0,0
2,303.8,312.5,1655,28.0,170,0,1,0,0,0,0,0
0,300.2,311.5,1528,36.1,125,0,1,0,0,0,0,0
0,297.8,307.5,1391,48.6,109,0,1,0,0,0,0,0
1,297.7,307.2,1405,43.7,2,0,1,0,0,0,0,0
0,300.3,310.3,1704,29.5,0,0,1,0,0,0,0,0
0,298.7,309.2,1396,44.8,178,0,1,0,0,0,0,0
0,302.0,311.1,1635,36.0,23,0,1,0,0,0,0,0
0,300.7,311.9,1399,50.2,222,0,0,1,0,0,0,1
0,303.6,312.4,1781,28.7,124,0,1,0,0,0,0,0
0,302.3,310.7,1499,37.8,137,0,1,0,0,0,0,0
0,300.1,311.4,1356,45.7,149,0,1,0,0,0,0,0
1,301.8,309.6,1436,49.0,214,0,1,0,0,0,0,0
0,300.8,310.6,1360,48.8,91,0,1,0,0,0,0,0
1,303.6,312.0,1645,35.7,81,0,1,0,0,0,0,0
0,297.5,308.7,1429,44.3,201,0,1,0,0,0,0,0
0,298.1,309.9,1634,30.0,53,0,1,0,0,0,0,0
0,300.9,310.9,1370,52.5,107,0,1,0,0,0,0,0
0,303.7,312.6,1466,42.5,183,0,1,0,0,0,0,0
0,298.9,310.0,1378,49.3,18,0,1,0,0,0,0,0
0,298.8,308.1,1472,53.5,28,0,1,0,0,0,0,0
0,297.3,308.7,1506,39.3,187,0,1,0,0,0,0,0
1,302.3,311.0,1541,36.6,143,0,1,0,0,0,0,0
0,303.3,311.6,1337,56.8,187,1,0,0,0,0,0,1
0,300.3,310.4,1672,29.2,39,0,1,0,0,0,0,0
0,298.7,309.9,1541,38.5,208,0,1,0,0,0,0,0
0,300.0,309.9,1507,41.4,74,0,1,0,0,0,0,0
0,297.9,309.9,1542,33.8,33,0,1,0,0,0,0,0
2,298.0,309.4,1562,38.1,58,0,1,0,0,0,0,0
1,302.3,311.6,1668,33.2,52,0,1,0,0,0,0,0
0,300.0,309.6,1571,33.1,65,0,1,0,0,0,0,0
0,297.3,308.5,1528,44.5,140,0,1,0,0,0,0,0
0,298.0,308.2,1469,45.5,214,0,1,0,0,0,0,0
0,298.0,309.1,1822,23.5,122,0,1,0,0,0,0,0
1,298.0,307.7,1487,41.3,160,0,1,0,0,0,0,0
0,300.3,309.2,1572,32.0,173,0,1,0,0,0,0,0
0,302.9,312.3,1530,34.9,185,0,1,0,0,0,0,0
0,298.4,308.6,1433,47.1,101,0,1,0,0,0,0,0
1,297.4,309.0,1685,30.7,177,0,1,0,0,0,0,0
0,300.9,310.7,1389,50.0,214,0,1,0,0,0,0,0
0,297.4,308.1,1348,57.4,66,0,1,0,0,0,0,0
0,297.4,308.7,1429,57.4,96,0,1,0,0,0,0,0
0,298.5,309.3,1471,44.7,119,0,1,0,0,0,0,0
1,297.2,308.8,1485,47.9,143,0,1,0,0,0,0,0
0,301.0,310.0,1480,43.5,21,0,1,0,0,0,0,0
0,298.2,307.7,1688,32.4,91,0,1,0,0,0,0,0
0,300.6,310.4,1457,47.7,120,0,1,0,0,0,0,0
0,300.2,309.8,1481,41.9,106,0,1,0,0,0,0,0
0,299.6,311.0,1552,33.2,139,0,1,0,0,0,0,0
1,301.6,311.2,1415,46.5,82,0,1,0,0,0,0,0
2,301.3,311.0,1580,36.6,184,0,1,0,0,0,0,0
0,303.0,311.2,1664,29.8,186,0,1,0,0,0,0,0
2,296.1,306.8,1645,31.0,41,0,1,0,0,0,0,0
0,299.4,309.3,1377,43.6,28,0,1,0,0,0,0,0
0,295.6,306.2,1428,44.5,51,0,1,0,0,0,0,0
0,302.6,312.1,1473,37.3,184,0,1,0,0,0,0,0
0,299.0,310.2,1477,37.9,60,0,1,0,0,0,0,0
2,298.3,309.5,1521,37.1,84,0,1,0,0,0,0,0
2,299.9,309.2,1525,33.2,0,0,1,0,0,0,0,0
1,297.2,308.0,1478,42.5,56,0,1,0,0,0,0,0
0,300.5,311.3,1490,41.8,39,0,1,0,0,0,0,0
0,304.1,313.3,1883,24.5,190,0,1,0,0,0,0,0
0,300.5,309.8,1441,48.8,200,0,1,0,0,0,0,0
0,299.2,308.5,1515,39.8,141,0,1,0,0,0,0,0
0,298.5,308.2,1451,47.5,18,0,1,0,0,0,0,0
0,303.0,311.2,1494,37.0,67,0,1,0,0,0,0,0
0,297.1,308.5,1425,40.0,35,0,1,0,0,0,0,0
0,296.2,307.2,1382,52.0,201,0,1,0,0,0,0,0
1,304.3,313.6,1489,40.3,196,0,1,0,0,0,0,0
1,301.5,310.0,1417,44.6,49,0,1,0,0,0,0,0
1,301.5,310.6,1447,41.9,140,0,1,0,0,0,0,0
0,302.0,309.8,1532,39.4,2,0,1,0,0,0,0,0
0,299.4,309.0,1660,28.4,139,0,1,0,0,0,0,0
0,302.6,311.0,1424,38.0,144,0,1,0,0,0,0,0
0,299.5,309.3,1520,42.3,149,0,1,0,0,0,0,0
0,302.9,312.2,1469,42.0,214,0,1,0,0,0,0,0
0,298.3,308.5,1538,32.2,173,0,1,0,0,0,0,0
1,300.7,309.7,1523,38.2,73,0,1,0,0,0,0,0
0,302.7,310.6,1501,48.7,4,0,1,0,0,0,0,0
0,301.1,311.1,1889,23.8,170,0,1,0,0,0,0,0
2,300.7,311.9,1389,46.5,186,0,1,0,0,0,0,0
2,300.4,311.5,1662,29.0,137,0,1,0,0,0,0,0
2,298.8,310.0,1530,38.3,53,0,1,0,0,0,0,0
0,298.4,308.6,1477,44.0,124,0,1,0,0,0,0,0
1,299.7,309.2,1412,45.3,205,0,1,0,0,0,0,0
0,298.6,309.8,1332,46.4,76,0,1,0,0,0,0,0
0,300.7,309.5,1850,24.5,19,0,1,0,0,0,0,0
0,301.0,310.5,1601,33.2,77,0,1,0,0,0,0,0
1,300.5,310.0,1580,37.0,181,0,1,0,0,0,0,0
0,298.3,307.7,1465,49.4,109,0,1,0,0,0,0,0
1,302.3,310.7,1544,39.7,141,0,1,0,0,0,0,0
0,297.6,308.3,1742,27.7,13,0,1,0,0,0,0,0
0,303.8,313.1,1256,58.7,213,0,0,1,0,0,0,1
2,300.9,311.2,1518,35.0,90,0,1,0,0,0,0,0
0,300.0,310.1,1762,28.0,202,0,1,0,0,0,0,0
1,298.6,310.0,1512,37.5,27,0,1,0,0,0,0,0
0,297.1,308.4,1488,42.5,146,0,1,0,0,0,0,0
0,300.5,311.4,1642,27.1,37,0,1,0,0,0,0,0
1,301.0,310.9,1515,41.8,170,0,1,0,0,0,0,0
0,301.9,310.9,1574,31.4,27,0,1,0,0,0,0,0
0,301.5,311.1,1731,27.9,101,0,1,0,0,0,0,0
0,299.4,309.0,1436,47.9,75,0,1,0,0,0,0,0
0,300.0,309.6,1431,47.7,39,0,1,0,0,0,0,0
0,300.2,310.0,1493,47.3,172,0,1,0,0,0,0,0
1,302.1,311.3,1497,38.4,28,0,1,0,0,0,0,0
0,296.3,307.2,1637,31.6,27,0,1,0,0,0,0,0
0,298.4,309.7,1457,44.2,175,0,1,0,0,0,0,0
1,299.9,309.3,1452,41.9,106,0,1,0,0,0,0,0
0,303.9,313.0,1759,28.4,74,0,1,0,0,0,0,0
0,298.0,307.8,1623,29.9,24,0,1,0,0,0,0,0
2,297.6,308.3,1400,44.3,43,0,1,0,0,0,0,0
1,304.2,313.5,1739,28.1,80,0,1,0,0,0,0,0
1,302.5,311.0,1463,43.1,181,0,1,0,0,0,0,0
0,298.1,307.9,1698,33.3,40,0,1,0,0,0,0,0
0,301.0,311.7,1547,34.5,152,0,1,0,0,0,0,0
0,303.5,311.9,1493,38.7,14,0,1,0,0,0,0,0
2,297.6,309.6,1669,32.1,155,0,1,0,0,0,0,0
2,298.1,308.3,1530,42.0,184,0,1,0,0,0,0,0
0,303.4,311.5,1424,50.8,128,0,1,0,0,0,0,0
1,299.5,309.2,1590,35.9,22,0,1,0,0,0,0,0
1,300.6,310.6,1403,50.4,64,0,1,0,0,0,0,0
1,303.8,312.6,1527,41.9,159,0,1,0,0,0,0,0
2,299.4,308.6,1542,41.8,166,0,1,0,0,0,0,0
1,296.4,307.3,2077,19.1,80,0,1,0,0,0,0,0
0,300.0,309.4,1499,35.7,46,0,1,0,0,0,0,0
1,301.9,310.9,1483,37.0,35,0,1,0,0,0,0,0
2,304.0,313.2,1271,68.6,161,0,0,0,1,0,0,1
0,300.2,311.5,1492,41.8,128,0,1,0,0,0,0,0
0,296.7,307.6,1474,41.7,148,0,1,0,0,0,0,0
2,301.2,310.6,1352,52.0,69,0,1,0,0,0,0,0
1,299.3,308.6,1448,52.1,71,0,1,0,0,0,0,0
2,302.2,311.6,1357,44.2,142,0,1,0,0,0,0,0
0,298.9,308.9,1450,47.5,9,0,1,0,0,0,0,0
0,298.9,310.1,1361,51.7,192,0,1,0,0,0,0,0
1,297.7,308.1,1469,48.8,183,0,1,0,0,0,0,0
1,297.8,307.9,1802,25.8,43,0,1,0,0,0,0,0
1,296.6,307.4,1544,42.3,170,0,1,0,0,0,0,0
1,302.4,311.4,1534,40.1,41,0,1,0,0,0,0,0
1,297.6,308.5,1360,48.6,77,0,1,0,0,0,0,0
0,302.8,310.6,1671,30.5,201,0,1,0,0,0,0,0
1,303.4,312.7,1594,32.8,79,0,1,0,0,0,0,0
0,300.4,311.9,1868,21.3,92,0,1,0,0,0,0,0
2,298.0,307.9,1482,37.8,132,0,1,0,0,0,0,0
1,301.9,310.7,1511,37.6,70,0,1,0,0,0,0,0
0,299.2,310.3,1610,33.3,233,0,1,0,0,0,0,0
0,300.4,309.5,1349,50.4,30,0,1,0,0,0,0,0
0,301.5,310.5,2289,16.4,112,0,1,0,0,0,0,0
2,300.3,309.7,1582,30.8,144,0,1,0,0,0,0,0
2,300.9,311.4,1387,42.7,121,0,1,0,0,0,0,0
1,303.9,313.2,1608,40.6,79,0,1,0,0,0,0,0
1,302.4,311.4,1508,41.2,60,0,1,0,0,0,0,0
1,298.9,308.2,2022,20.0,23,0,1,0,0,0,0,0
0,296.6,308.0,1978,22.3,208,0,1,0,0,0,0,0
